,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
3835,2015-04-27,2015-04-27,15.3175,2.23,0.00567059134913284,0.9978933142539153,0.0443061318436418,0,1200.0,0
3836,2015-04-28,2015-04-28,15.2185,2.23,0.00567059134913284,0.9978933142539153,0.0443061318436418,0,1209.0,0
3837,2015-04-29,2015-04-29,15.168,2.23,0.00567059134913284,0.9978933142539153,0.0443061318436418,0,1209.0,0
3838,2015-04-30,2015-04-30,15.3855,2.23,0.00567059134913284,0.9978933142539153,0.0443061318436418,0,1180.3,0
3839,2015-05-01,2015-05-01,15.565,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1176.0,0
3840,2015-05-04,2015-05-04,15.512,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1176.0,0
3841,2015-05-05,2015-05-05,15.341,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1197.0,0
3842,2015-05-06,2015-05-06,15.2945,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1194.3,0
3843,2015-05-07,2015-05-07,15.3325,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1187.0,0
3844,2015-05-08,2015-05-08,15.120999999999999,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1186.0,0
3845,2015-05-11,2015-05-11,15.2855,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1189.3,0
3846,2015-05-12,2015-05-12,15.298,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1191.5,0
3847,2015-05-13,2015-05-13,15.2385,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1210.5,0
3848,2015-05-14,2015-05-14,15.116,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1225.0,0
3849,2015-05-15,2015-05-15,14.997,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1220.5,0
3850,2015-05-18,2015-05-18,15.128,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1223.5,0
3851,2015-05-19,2015-05-19,15.190999999999999,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1214.3,0
3852,2015-05-20,2015-05-20,15.19,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1210.5,0
3853,2015-05-21,2015-05-21,15.258,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1205.0,0
3854,2015-05-22,2015-05-22,15.2915,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1204.1,0
3855,2015-05-26,2015-05-26,15.331,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1185.4,0
3856,2015-05-27,2015-05-27,15.357000000000001,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1185.9,0
3857,2015-05-28,2015-05-28,15.3765,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1185.0,0
3858,2015-05-29,2015-05-29,15.3688,2.24,0.00567059134913284,0.9656058949755046,0.0449315462860847,0,1191.4,0
3859,2015-06-01,2015-06-01,15.4685,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1199.9,0
3860,2015-06-02,2015-06-02,15.4345,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1192.8,0
3861,2015-06-03,2015-06-03,15.4555,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1190.0,0
3862,2015-06-04,2015-06-04,15.5575,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1176.0,0
3863,2015-06-05,2015-06-05,15.6925,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1164.6,0
3864,2015-06-08,2015-06-08,15.6735,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1172.8,0
3865,2015-06-09,2015-06-09,15.552999999999999,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1177.4,0
3866,2015-06-10,2015-06-10,15.460999999999999,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1188.5,0
3867,2015-06-11,2015-06-11,15.399000000000001,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1178.5,0
3868,2015-06-12,2015-06-12,15.3975,2.23,0.00567059134913284,0.9760763765872942,0.0441879223209479,0,1182.8,0
