,index,Time Series,BRL_USD,BRL_IR,BRL_GDP,BRL_trade,BRL_UE,fc_year,price_gold,h1n1
904,2003-08-07,2003-08-07,2.9975,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,351.6,0
905,2003-08-08,2003-08-08,2.99,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,354.0,0
906,2003-08-11,2003-08-11,2.9960000000000004,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,359.2,0
907,2003-08-12,2003-08-12,3.025,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,360.1,0
908,2003-08-13,2003-08-13,3.03,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,358.7,0
909,2003-08-14,2003-08-14,3.0,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,363.6,0
910,2003-08-15,2003-08-15,3.0,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,364.5,0
911,2003-08-18,2003-08-18,2.9939999999999998,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,360.3,0
912,2003-08-19,2003-08-19,2.992,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,360.4,0
913,2003-08-20,2003-08-20,3.0039999999999996,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,363.7,0
914,2003-08-21,2003-08-21,3.0125,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,363.3,0
915,2003-08-22,2003-08-22,2.995,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,358.8,0
916,2003-08-25,2003-08-25,2.992,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,358.8,0
917,2003-08-26,2003-08-26,2.991,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,360.5,0
918,2003-08-27,2003-08-27,2.9815,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,371.3,0
919,2003-08-28,2003-08-28,2.952,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,369.8,0
920,2003-08-29,2003-08-29,2.965,22.0,-0.008502815091079108,0.5427680931119535,0.129314181919069,0,375.6,0
921,2003-09-02,2003-09-02,2.975,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,373.7,0
922,2003-09-03,2003-09-03,2.957,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,370.0,0
923,2003-09-04,2003-09-04,2.9419999999999997,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,370.8,0
924,2003-09-05,2003-09-05,2.91,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,375.8,0
925,2003-09-08,2003-09-08,2.923,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,374.7,0
926,2003-09-09,2003-09-09,2.93,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,382.3,0
927,2003-09-10,2003-09-10,2.906,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,380.0,0
928,2003-09-11,2003-09-11,2.905,20.0,-0.008502815091079108,0.5106704203951336,0.130770695683844,0,376.3,0
